date_wk,sap,claims,epu,yield
1984-12-31,165.215,369000.0,144.97333333333333,11.663333333333334
1985-01-07,165.92600099999999,387000.0,209.74714285714282,11.498000000000001
1985-01-14,170.9119996,359000.0,145.11714285714285,11.494
1985-01-21,176.4140016,368000.0,168.78571428571428,11.1625
1985-01-28,178.8459992,386000.0,180.53142857142856,11.152
1985-02-04,181.0800018,401000.0,172.8057142857143,11.365999999999998
1985-02-11,181.68600179999999,390000.0,151.16428571428574,11.370000000000001
1985-02-18,180.5149995,390000.0,160.12285714285713,11.5725
1985-02-25,181.103998,374000.0,165.04999999999998,11.825999999999999
1985-03-04,180.7099978,385000.0,86.6557142857143,11.872
1985-03-11,178.2019988,386000.0,153.7657142857143,11.85
1985-03-18,178.7779998,373000.0,101.56428571428572,11.924000000000001
1985-03-25,179.22799679999997,386000.0,202.00857142857143,11.774
1985-04-01,179.98500075,405000.0,130.2042857142857,11.71
1985-04-08,179.27799979999998,411000.0,101.85285714285715,11.572
1985-04-15,181.149997,391000.0,94.09714285714287,11.24
1985-04-22,182.0899966,386000.0,110.80571428571427,11.27
1985-04-29,179.58399980000002,390000.0,118.81857142857143,11.330000000000002
1985-05-06,181.5139984,394000.0,102.5,11.171999999999999
1985-05-13,185.2199982,391000.0,105.72285714285714,10.89
1985-05-20,188.7619994,396000.0,144.25857142857143,10.598
1985-05-27,188.20999925,393000.0,172.01000000000002,10.39
1985-06-03,190.05199899999997,403000.0,152.70285714285714,10.001999999999999
1985-06-10,187.7179994,390000.0,115.68142857142858,10.118
1985-06-17,187.3679994,386000.0,130.02857142857144,10.078
1985-06-24,190.4059998,390000.0,184.8957142857143,10.425999999999998
1985-07-01,192.10249725,395000.0,138.17142857142855,10.1375
1985-07-08,192.31599720000003,386000.0,148.97714285714284,10.124
1985-07-15,194.52000119999997,370000.0,130.4042857142857,10.226000000000003
1985-07-22,192.58800060000002,362000.0,93.0,10.51
1985-07-29,190.8079988,407000.0,116.73714285714287,10.613999999999999
1985-08-05,188.699997,402000.0,121.99142857142859,10.527999999999999
1985-08-12,187.1400026,399000.0,162.46714285714285,10.368
1985-08-19,187.630002,405000.0,101.67714285714285,10.158
1985-08-26,188.3600008,409000.0,141.96714285714285,10.172
1985-09-02,187.697502,426000.0,59.44571428571429,10.2925
1985-09-09,185.3559998,408000.0,111.44285714285714,10.48
1985-09-16,182.27800299999998,401000.0,82.79285714285713,10.4
1985-09-23,182.21749874999998,399000.0,146.9628571428572,10.3025
1985-09-30,183.75800180000002,405000.0,92.16857142857144,10.315999999999999
1985-10-07,182.6639984,400000.0,132.29285714285714,10.368
1985-10-14,187.025998,400000.0,92.00714285714285,10.2325
1985-10-21,188.022,418000.0,66.92285714285715,10.16
1985-10-28,189.68200080000003,398000.0,134.02,10.069999999999999
1985-11-04,192.5439972,397000.0,94.42142857142858,9.918000000000001
1985-11-11,197.92600120000003,397000.0,135.97857142857143,9.82
1985-11-18,199.86000359999997,382000.0,98.36428571428569,9.681999999999999
1985-11-25,201.43249874999998,393000.0,120.12428571428572,9.6475
1985-12-02,202.4840028,399000.0,189.85999999999996,9.654
1985-12-09,206.32399900000001,382000.0,119.99571428571429,9.306000000000001
1985-12-16,210.68800040000002,370000.0,133.06428571428572,9.09
1985-12-23,208.24250025,390000.0,85.64999999999999,9.045
1985-12-30,210.60749825,362000.0,132.71,9.024999999999999
1986-01-06,208.8980012,397000.0,192.06142857142854,9.16
1986-01-13,207.84399720000002,364000.0,150.30714285714285,9.354000000000001
1986-01-20,205.497998,344000.0,144.71142857142857,9.24
1986-01-27,209.71999820000002,364000.0,134.2742857142857,9.09
1986-02-03,213.5480012,366000.0,204.81,9.018
1986-02-10,217.05799859999996,358000.0,140.37285714285716,8.873999999999999
1986-02-17,222.262497,390000.0,130.26285714285714,8.622499999999999
1986-02-24,225.1719968,375000.0,138.44571428571427,8.286
1986-03-03,224.9680022,366000.0,106.71714285714286,8.008
1986-03-10,232.1100004,382000.0,85.44571428571427,7.7219999999999995
1986-03-17,235.18599840000002,387000.0,116.64,7.8
1986-03-24,236.58000175,396000.0,76.44142857142857,7.6325
1986-03-31,234.18200059999998,381000.0,124.21714285714287,7.390000000000001
1986-04-07,233.66200239999998,388000.0,80.09142857142857,7.306
1986-04-14,240.52800000000002,383000.0,155.10714285714286,7.102000000000001
1986-04-21,242.644,391000.0,70.94857142857143,7.347999999999999
1986-04-28,237.81199959999998,392000.0,184.49,7.4399999999999995
1986-05-05,237.2060028,395000.0,129.09714285714284,7.444
1986-05-12,235.74399739999998,384000.0,146.85714285714283,7.748
1986-05-19,237.2459992,386000.0,93.59714285714287,7.895999999999999
1986-05-26,246.67750175,373000.0,133.3557142857143,7.875000000000001
1986-06-02,245.1619964,375000.0,88.10714285714286,8.232000000000001
1986-06-09,241.578003,369000.0,199.90428571428575,7.984
1986-06-16,245.42200319999998,367000.0,174.08714285714285,7.624
1986-06-23,247.9119996,371000.0,155.53285714285715,7.448
1986-06-30,251.84249475,371000.0,125.28428571428572,7.35
1986-07-07,242.7380004,361000.0,117.54857142857144,7.333999999999999
1986-07-14,235.8420016,354000.0,173.48571428571427,7.19
1986-07-21,238.25199879999997,362000.0,194.72285714285712,7.261999999999999
1986-07-28,235.6359986,416000.0,111.69285714285714,7.406000000000001
1986-08-04,236.7559996,416000.0,121.69857142857143,7.388
1986-08-11,244.61799620000002,407000.0,108.05285714285715,7.186
1986-08-18,248.7040008,397000.0,219.9057142857143,7.037999999999999
1986-08-25,251.9439972,401000.0,139.13714285714286,7.016
