sap,claims,epu,yield,time
0.09448406043601187,-0.15706749360435224,-0.08915787176363588,-0.14819082687529728,1993-08-23
0.10126050357376232,-0.2085168665024833,-0.09112024420048292,-0.1531307551296399,1993-08-30
0.10363443010428036,-0.20873719293990473,-0.20964092509393886,-0.15979838055909718,1993-09-06
0.0951306488891504,-0.23621157673306184,0.07028128731604533,-0.18018225671719082,1993-09-13
0.1107861516495547,-0.16561949619809613,-0.18054701573565457,-0.172975955376046,1993-09-20
0.10059861186799779,-0.18220229315516084,-0.11872862064131717,-0.156915833935088,1993-09-27
0.12773074994086672,-0.1426630189713381,-0.4345135425647833,-0.166648554543339,1993-10-04
0.13205706174271603,-0.08347189490074672,-0.2526749602493952,-0.18540081426069716,1993-10-11
0.12134269458187255,-0.06528582747186046,-0.35281467956405643,-0.2529594331389865,1993-10-18
0.10596714913559438,-0.049932524883118536,-0.18439168178498952,-0.2511643701467609,1993-10-25
0.10463006046603968,-0.07231482796248312,-0.44053738101379325,-0.22439319213588244,1993-11-01
0.0940978296822356,-0.0774734386209038,-0.2780392544149814,-0.17251776306383776,1993-11-08
0.09542933893302016,-0.05867646780282226,-0.3435873502317087,-0.17582719780149164,1993-11-15
0.08069600747428608,-0.054744485775879786,-0.10736993303610776,-0.17258755056555036,1993-11-22
0.07217153312286288,-0.07778140218474726,-0.33473697806606206,-0.1567411709608745,1993-11-29
0.06630133800225524,-0.08138758440817988,-0.16836846872293634,-0.1573845168243737,1993-12-06
0.0787581315349262,-0.00843901199291355,-0.1374579357927453,-0.18000023094454048,1993-12-13
0.044332369792471196,0.005129353543824437,-0.0029751693423663815,-0.1440446888432934,1993-12-20
0.06656804032764452,-0.11585254222631458,-0.25999994333331433,-0.13459819059181233,1993-12-27
0.09668885546180422,-0.035834980822414986,-0.12410324071418086,-0.14434493918096997,1994-01-03
0.07912564379893,-0.04849282274340575,-0.23478915440639703,-0.12351528692213207,1994-01-10
0.09781887025658595,0.006726037726348628,-0.13265191255986036,-0.13875306680785904,1994-01-17
0.08220303104718713,-0.006934686877514118,0.07304225507819424,-0.10468854512811986,1994-01-24
0.061980047497466106,0.15244964308802605,0.1399312335770185,-0.10223507864888291,1994-01-31
0.06393806061559422,0.10720344573802783,-0.024290682985026964,-0.09916495757714883,1994-02-07
0.08104389430575576,0.02944604904237837,-0.23407551065157317,-0.043784957183343826,1994-02-14
0.06508342426206964,-0.00750791164471433,-0.275540242710109,-0.013979783437213877,1994-02-21
0.04408156596348242,-0.06337259490484906,-0.12007986820511263,0.042252358120312854,1994-02-28
0.02091674124818168,0.016288743687070034,-0.3774087077163717,0.033928931855598726,1994-03-07
0.02979477788123095,-0.01086491570428623,-0.5330519051603455,0.04240181759667125,1994-03-14
0.04168545224686085,-0.0671874091228297,-0.5064772076778301,0.06380791125458865,1994-03-21
